,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Uniqueness
Escapes_unfamiliar_people,-0.932,,,,,,,0.32
comfortable_social_gatherings,0.906,,,,,,,0.315
comfortable_petted_unfamiliar_people,0.863,,,,,,,0.315
greets_unfamiliar_adults,0.859,,,,,,,0.336
comfortable_playing _unfamiliar_people,0.841,,,,,,,0.339
not_approach_people_right_away,-0.795,,,,,,,0.481
greets_unfamiliar_children,0.788,,,,,,,0.41
easily_scared_things_sounds,-0.653,,,,,,,0.568
comfortable_unfamiliar_places,0.629,,,,,,,0.561
Runs_ hides_noise_inside,-0.626,,,,,,,0.584
comfortable_familiar_children,0.567,,,,,,,0.593
Freezes_examined_veterinarian,-0.531,,,,,,,0.717
Runs_unfamiliar_dogs,-0.472,,,,,,0.387,0.615
restlessness_unfamiliar_objects,-0.458,,,,,,,0.688
Runs_unfamiliar_cats,-0.439,,,,,,,0.722
Runs_hide_noise_outside,-0.439,,,,,,,0.797
adapts_changes,0.401,,,,,,,0.693
Seems_confident,0.385,,,,,,,0.696
restlessness_home_modified,-0.383,,,,,,,0.696
scratch_bite_nails_clipped,,0.7,,,,,,0.522
Growls_hisses_nails_clipped,,0.66,,,,,,0.57
scratch_bite _medicine_familiar_person,,0.659,,,,,,0.547
Growls_hisses_medicine_familiar,,0.652,,,,,,0.563
Growls_hisses_brushed,,0.624,,,,,,0.642
Growls_ hisses_bathed,,0.605,,,,,,0.577
scratch_bite_examined_veterinarian,,0.573,,,,,,0.663
scratch_bite_brushed,,0.572,,,,,,0.661
Growls_hisses_petted_tail,,0.549,,,,,,0.711
scratch_bite_petted_belly,,0.537,,,,,,0.657
scratch_bite_petted_base_tail,,0.532,,,,,,0.71
scratch_bite_bathed,,0.529,,,,,,0.653
Unexpectedly_scratches _bites,,0.501,,,,,,0.702
Growls_hisses_examined_veterinarian,,0.488,,,,,,0.705
Growls_hisses_unfamiliar_person_pet,,0.461,,,,,,0.631
Gets_along _with_cats,,,-0.675,,,,,0.521
Enjoys_playing_cats,,,-0.659,,,,,0.384
Growls_hisses_familiar_cat_staring,,,0.653,,,,,0.527
Seeks_company_other_cats,,,-0.651,,,,,0.497
Growls_hisses_approached_familiar_cat_resting,,,0.591,,,,,0.599
restlessness_other_cats_fight,,,0.543,,,,,0.714
Seeks_physical_contact_other_cats,,,-0.535,,,,,0.617
scratch_bite_familiar_cat_hissing,,,0.516,,,,,0.643
Greets_unfamiliar_cats,,,-0.415,,,,,0.644
greets_kittens,,,-0.39,,,,,0.65
not_want_use_same_litter_box,,,0.372,,,,,0.847
Human_oriented,,,0.37,,0.469,,,0.646
Growls_hisses_approached_familiar_cat_while_eating,,,0.359,,,,,0.826
Enjoys_jumping_high,,,,0.556,,,,0.708
Active,,,,0.539,,,,0.616
