Participant Code,Region,log_berpikir,k_numerikal,d_analisa,k_verbal,o_hasil,fleks,s_kerja,m_prestasi,kerjasama,k_interpersonal,pil_jabatan,prosen_kecocokan,hasil_rekomendasi
DCX_001,BALI NUSRA,2,2,3,3,3,3,3,2,3,4,SALES,91.67,Disarankan
DCX_002,BALI NUSRA,3,3,3,3,4,4,4,4,5,5,SALES,94.17,Disarankan
DCX_003,BALI NUSRA,3,3,4,3,5,3,4,4,5,4,SALES,94.17,Disarankan
DCX_004,BALI NUSRA,3,3,3,3,5,4,4,5,5,3,SALES,91.67,Disarankan
DCX_005,BALI NUSRA,3,2,3,3,3,3,3,2,4,3,SALES,91.67,Disarankan
DCX_006,BALI NUSRA,3,3,3,3,3,1,3,3,3,3,SALES,96.67,Disarankan
DCX_007,BALI NUSRA,3,3,3,3,4,3,3,3,3,4,SALES,100,Disarankan
DCX_008,BALI NUSRA,2,2,3,1,3,3,3,3,4,4,SALES,92.5,Disarankan
DCX_009,BALI NUSRA,2,2,3,2,3,2,3,2,4,4,SALES,90.83,Disarankan
DCX_010,BALI NUSRA,3,3,3,3,4,3,3,3,3,3,SALES,95,Disarankan
DCX_011,BALI NUSRA,3,3,4,4,3,3,3,3,4,3,SALES,95,Disarankan
DCX_012,BALI NUSRA,2,2,3,1,4,3,3,3,3,4,SALES,92.5,Disarankan
DCX_013,BALI NUSRA,2,1,2,2,3,3,3,2,3,3,SALES,100,Disarankan
DCX_014,BALI NUSRA,2,2,2,3,4,3,3,3,3,3,SALES,91.67,Disarankan
DCX_015,BALI NUSRA,2,2,3,2,4,3,3,2,3,3,SALES,100,Disarankan
DCX_016,BALI NUSRA,2,2,3,2,3,2,3,2,4,4,SALES,90.83,Disarankan
DCX_017,BALI NUSRA,2,2,2,2,4,3,3,3,3,3,SALES,91.67,Disarankan
DCX_018,BALI NUSRA,3,3,4,3,4,3,3,3,4,3,SALES,97.5,Disarankan
DCX_019,BALI NUSRA,2,2,3,2,3,3,2,2,4,4,SALES,90.83,Disarankan
DCX_020,BALI NUSRA,2,2,2,2,3,3,3,3,4,3,SALES,91.67,Disarankan
DCX_021,HEAD OFFICE,1,2,2,1,3,1,2,4,3,3,SALES,96.67,Disarankan
DCX_022,HEAD OFFICE,2,3,4,2,4,2,3,3,4,3,SALES,94.17,Disarankan
DCX_023,HEAD OFFICE,1,1,2,1,4,2,4,2,3,3,SALES,100,Disarankan
DCX_024,HEAD OFFICE,3,3,4,3,4,3,3,2,3,3,SALES,91.67,Disarankan
DCX_025,HEAD OFFICE,3,3,4,3,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_026,HEAD OFFICE,2,3,2,3,4,3,3,3,4,3,SALES,94.17,Disarankan
DCX_027,HEAD OFFICE,2,2,3,2,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_028,HEAD OFFICE,2,2,4,2,3,3,2,2,3,3,SALES,100,Disarankan
