"","Usia","Jenis Kelamin","Pendidikan Terakhir","Jabatan","Masa Kerja","KM1","KM2","KM3","KM4","KM5","KM6","KM7","KM8","PU1","PU2","PU3","PU4","PU5","PU6","PU7","PU8","PU9","PU10","PU11","AD1","AD2","AD3","AD4","AD5","AD6","AD7","AD8","AD9","AD10","AD11","AD12","AD13","Cons1","Cons2","Cons3","Cons4","Cons5","Cons6"
"1",26,"Laki-laki","D4/S1","Staf / Pelaksana",6,4,5,3,4,2,1,1,1,3,5,1,1,1,1,5,1,5,1,5,1,2,4,5,2,1,1,5,1,3,5,1,5,7,7,6,7,6,7
"2",22,"Perempuan","D4/S1","Staf / Pelaksana",2,5,4,5,4,5,5,3,5,5,3,5,5,5,4,3,4,4,2,4,3,4,5,2,4,3,3,5,5,4,4,2,4,7,6,2,7,6,7
"3",32,"Laki-laki","D1/D2/D3","Staf / Pelaksana",4,5,4,4,1,5,4,2,1,1,4,4,4,2,2,4,4,3,3,2,4,5,5,2,5,5,5,1,1,5,5,1,1,7,7,1,7,7,7
"4",43,"Laki-laki","D4/S1","Staf / Pelaksana",23,2,2,4,2,4,4,2,2,4,4,4,4,3,3,2,3,2,4,2,4,4,4,2,4,4,5,2,2,4,5,2,1,7,7,1,7,7,7
"5",32,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",2,5,2,5,5,2,4,1,4,3,2,3,3,5,5,2,5,3,4,5,3,3,4,4,2,2,5,4,4,4,5,2,1,5,4,4,5,3,2
"6",37,"Laki-laki","D4/S1","Staf / Pelaksana",5,5,4,5,3,5,4,5,2,3,5,5,2,2,4,5,5,1,4,5,4,4,5,3,3,2,4,5,5,3,5,5,4,7,6,6,7,7,7
"7",22,"Perempuan","D4/S1","Eksekutif / Pejabat Eselon II",4,3,3,3,1,3,3,1,3,3,3,4,3,2,3,4,3,2,4,2,5,3,4,5,4,3,3,5,4,5,5,3,4,7,5,5,7,4,6
"8",48,"Laki-laki","D1/D2/D3","Manajer Lini / Pejabat Eselon IV/ III",7,3,3,5,2,4,3,4,3,4,3,5,4,2,3,3,3,3,3,4,2,3,4,5,3,3,4,5,3,4,3,4,3,4,3,5,3,4,3
"9",25,"Laki-laki","D1/D2/D3","Eksekutif / Pejabat Eselon II",5,4,5,5,4,5,5,1,4,5,5,5,5,4,4,4,5,5,5,1,5,4,3,3,5,4,3,5,2,5,5,3,3,7,5,5,7,4,6
"10",55,"Laki-laki","D1/D2/D3","Manajer Lini / Pejabat Eselon IV/ III",8,4,5,4,4,5,4,3,2,3,2,4,4,1,1,4,5,3,4,5,5,1,5,3,1,3,4,2,4,2,5,2,3,7,7,3,7,7,7
"11",38,"Laki-laki","SMA/ setara","Staf / Pelaksana",17,2,5,4,2,5,5,1,1,1,4,4,2,1,1,3,4,4,5,1,5,3,3,2,3,4,5,2,2,5,5,1,2,7,7,1,7,7,7
"12",40,"Laki-laki","D1/D2/D3","Staf / Pelaksana",9,5,5,5,1,5,5,1,5,4,5,5,4,3,1,1,3,1,1,3,5,5,5,5,5,3,5,2,2,4,3,4,5,6,5,4,7,6,7
"13",47,"Laki-laki","SMA/ setara","Staf / Pelaksana",11,5,3,4,2,5,4,3,2,3,4,5,2,2,2,2,4,5,5,2,5,4,5,3,4,3,5,2,5,4,5,3,4,7,7,1,7,7,7
"14",55,"Laki-laki","D4/S1","Staf / Pelaksana",10,3,4,4,2,4,5,2,2,3,4,4,4,2,5,4,2,5,4,4,4,4,3,2,3,3,3,3,2,4,5,2,2,5,5,4,5,5,6
"15",62,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",8,3,3,3,3,3,1,2,4,3,3,2,3,4,2,2,2,3,3,4,3,3,3,3,3,3,3,2,2,2,3,3,2,7,6,1,6,6,6
"16",47,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",12,3,3,3,3,4,4,1,3,2,3,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,1,4,4,2,3,7,7,1,6,6,6
